,date_of_interest,7Day AVG,Case Count
0,2020-02-29,Manhattan,0
1,2020-03-01,Manhattan,0
2,2020-03-02,Manhattan,0
3,2020-03-03,Manhattan,0
4,2020-03-04,Manhattan,0
5,2020-03-05,Manhattan,0
6,2020-03-06,Manhattan,1
7,2020-03-07,Manhattan,1
8,2020-03-08,Manhattan,2
9,2020-03-09,Manhattan,5
10,2020-03-10,Manhattan,9
11,2020-03-11,Manhattan,17
12,2020-03-12,Manhattan,37
13,2020-03-13,Manhattan,62
14,2020-03-14,Manhattan,87
15,2020-03-15,Manhattan,116
16,2020-03-16,Manhattan,178
17,2020-03-17,Manhattan,255
18,2020-03-18,Manhattan,323
19,2020-03-19,Manhattan,383
20,2020-03-20,Manhattan,450
21,2020-03-21,Manhattan,482
22,2020-03-22,Manhattan,498
23,2020-03-23,Manhattan,508
24,2020-03-24,Manhattan,516
25,2020-03-25,Manhattan,523
26,2020-03-26,Manhattan,533
27,2020-03-27,Manhattan,533
28,2020-03-28,Manhattan,532
29,2020-03-29,Manhattan,545
30,2020-03-30,Manhattan,584
31,2020-03-31,Manhattan,583
32,2020-04-01,Manhattan,581
33,2020-04-02,Manhattan,585
34,2020-04-03,Manhattan,587
35,2020-04-04,Manhattan,587
36,2020-04-05,Manhattan,580
37,2020-04-06,Manhattan,568
38,2020-04-07,Manhattan,566
39,2020-04-08,Manhattan,563
40,2020-04-09,Manhattan,549
41,2020-04-10,Manhattan,524
42,2020-04-11,Manhattan,512
43,2020-04-12,Manhattan,498
44,2020-04-13,Manhattan,451
45,2020-04-14,Manhattan,427
46,2020-04-15,Manhattan,411
47,2020-04-16,Manhattan,382
48,2020-04-17,Manhattan,358
49,2020-04-18,Manhattan,341
50,2020-04-19,Manhattan,330
51,2020-04-20,Manhattan,329
52,2020-04-21,Manhattan,319
53,2020-04-22,Manhattan,312
54,2020-04-23,Manhattan,318
55,2020-04-24,Manhattan,330
56,2020-04-25,Manhattan,324
57,2020-04-26,Manhattan,313
58,2020-04-27,Manhattan,301
59,2020-04-28,Manhattan,294
60,2020-04-29,Manhattan,280
61,2020-04-30,Manhattan,254
62,2020-05-01,Manhattan,230
63,2020-05-02,Manhattan,229
64,2020-05-03,Manhattan,230
65,2020-05-04,Manhattan,217
66,2020-05-05,Manhattan,206
67,2020-05-06,Manhattan,188
68,2020-05-07,Manhattan,174
69,2020-05-08,Manhattan,154
70,2020-05-09,Manhattan,145
71,2020-05-10,Manhattan,144
72,2020-05-11,Manhattan,141
73,2020-05-12,Manhattan,130
74,2020-05-13,Manhattan,128
75,2020-05-14,Manhattan,133
76,2020-05-15,Manhattan,138
77,2020-05-16,Manhattan,134
78,2020-05-17,Manhattan,128
79,2020-05-18,Manhattan,119
80,2020-05-19,Manhattan,120
81,2020-05-20,Manhattan,121
82,2020-05-21,Manhattan,120
83,2020-05-22,Manhattan,123
84,2020-05-23,Manhattan,122
85,2020-05-24,Manhattan,125
86,2020-05-25,Manhattan,116
87,2020-05-26,Manhattan,111
88,2020-05-27,Manhattan,103
89,2020-05-28,Manhattan,96
90,2020-05-29,Manhattan,84
91,2020-05-30,Manhattan,83
92,2020-05-31,Manhattan,77
93,2020-06-01,Manhattan,78
94,2020-06-02,Manhattan,70
95,2020-06-03,Manhattan,65
96,2020-06-04,Manhattan,64
97,2020-06-05,Manhattan,61
98,2020-06-06,Manhattan,60
99,2020-06-07,Manhattan,60
100,2020-06-08,Manhattan,60
101,2020-06-09,Manhattan,59
102,2020-06-10,Manhattan,58
103,2020-06-11,Manhattan,53
104,2020-06-12,Manhattan,54
105,2020-06-13,Manhattan,53
106,2020-06-14,Manhattan,53
107,2020-06-15,Manhattan,50
108,2020-06-16,Manhattan,50
109,2020-06-17,Manhattan,50
110,2020-06-18,Manhattan,51
