date_of_interest,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT,CASE_COUNT_7DAY_AVG,HOSP_COUNT_7DAY_AVG,DEATH_COUNT_7DAY_AVG,BX_CASE_COUNT,BX_HOSPITALIZED_COUNT,BX_DEATH_COUNT,BX_CASE_COUNT_7DAY_AVG,BX_HOSPITALIZED_COUNT_7DAY_AVG,BX_DEATH_COUNT_7DAY_AVG,BK_CASE_COUNT,BK_HOSPITALIZED_COUNT,BK_DEATH_COUNT,BK_CASE_COUNT_7DAY_AVG,BK_HOSPITALIZED_COUNT_7DAY_AVG,BK_DEATH_COUNT_7DAY_AVG,MN_CASE_COUNT,MN_HOSPITALIZED_COUNT,MN_DEATH_COUNT,MN_CASE_COUNT_7DAY_AVG,MN_HOSPITALIZED_COUNT_7DAY_AVG,MN_DEATH_COUNT_7DAY_AVG,QN_CASE_COUNT,QN_HOSPITALIZED_COUNT,QN_DEATH_COUNT,QN_CASE_COUNT_7DAY_AVG,QN_HOSPITALIZED_COUNT_7DAY_AVG,QN_DEATH_COUNT_7DAY_AVG,SI_CASE_COUNT,SI_HOSPITALIZED_COUNT,SI_DEATH_COUNT,SI_CASE_COUNT_7DAY_AVG,SI_HOSPITALIZED_COUNT_7DAY_AVG,SI_DEATH_COUNT_7DAY_AVG,INCOMPLETE
2020-02-29,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-01,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-02,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-03,1,7,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
2020-03-04,5,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-05,3,14,0,0,0,0,0,1,0,0,0,0,3,3,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0
2020-03-06,8,8,0,3,5,0,2,1,0,0,1,0,1,1,0,1,2,0,3,3,0,1,1,0,1,2,0,1,1,0,1,1,0,0,0,0,0
2020-03-07,7,8,0,3,6,0,0,1,0,0,1,0,2,3,0,1,2,0,1,0,0,1,1,0,3,4,0,1,2,0,1,0,0,0,0,0,0
2020-03-08,21,18,0,6,8,0,3,5,0,1,1,0,5,8,0,2,3,0,6,1,0,2,2,0,6,4,0,2,2,0,1,0,0,0,0,0,0
2020-03-09,57,37,0,15,13,0,4,7,0,1,2,0,16,11,0,4,4,0,24,10,0,5,3,0,10,8,0,3,3,0,3,2,0,1,1,0,0
2020-03-10,69,58,0,24,21,0,8,6,0,2,3,0,11,12,0,6,6,0,24,12,0,9,5,0,24,23,0,7,6,0,2,5,0,1,1,0,0
2020-03-11,155,79,1,46,32,0,19,23,0,5,6,0,31,12,0,10,7,0,62,19,0,17,7,0,40,23,1,12,10,0,3,2,0,2,2,0,0
2020-03-12,355,107,0,96,45,0,29,19,0,9,9,0,96,34,0,23,12,0,137,16,0,37,9,0,80,36,0,23,14,0,13,3,0,3,2,0,0
2020-03-13,619,152,0,183,66,0,79,26,0,20,12,0,166,44,0,47,18,0,182,31,0,62,13,0,166,50,0,47,21,0,26,2,0,7,2,0,0
