date_of_interest,Borough,Case Count
2020-03-31,Manhattan,9541
2020-04-30,Manhattan,11749
2020-05-31,Manhattan,3798
2020-06-30,Manhattan,1734
2020-07-31,Manhattan,1919
2020-08-31,Manhattan,1282
2020-09-30,Manhattan,1763
2020-10-31,Manhattan,2599
2020-11-30,Manhattan,7688
2020-12-31,Manhattan,13597
2021-01-31,Manhattan,18914
2021-02-28,Manhattan,12771
2021-03-31,Manhattan,13387
2021-04-30,Manhattan,7100
2021-05-31,Manhattan,1712
2021-06-30,Manhattan,870
2021-07-31,Manhattan,3932
2021-08-31,Manhattan,8653
2021-09-30,Manhattan,7395
2021-10-31,Manhattan,4311
2021-11-30,Manhattan,6316
2021-12-31,Manhattan,14282
2020-03-31,Brooklyn,18519
2020-04-30,Brooklyn,28737
2020-05-31,Brooklyn,8656
2020-06-30,Brooklyn,3112
2020-07-31,Brooklyn,2705
2020-08-31,Brooklyn,2262
2020-09-30,Brooklyn,4454
2020-10-31,Brooklyn,6126
2020-11-30,Brooklyn,12273
2020-12-31,Brooklyn,28769
2021-01-31,Brooklyn,40381
2021-02-28,Brooklyn,25866
2021-03-31,Brooklyn,28099
2021-04-30,Brooklyn,17876
2021-05-31,Brooklyn,4422
2021-06-30,Brooklyn,1465
2021-07-31,Brooklyn,6211
2021-08-31,Brooklyn,15098
2021-09-30,Brooklyn,13501
2021-10-31,Brooklyn,10152
2021-11-30,Brooklyn,10699
2021-12-31,Brooklyn,16792
2020-03-31,Bronx,12677
2020-04-30,Bronx,26880
2020-05-31,Bronx,6495
2020-06-30,Bronx,2249
2020-07-31,Bronx,2017
2020-08-31,Bronx,1624
2020-09-30,Bronx,1537
2020-10-31,Bronx,2552
2020-11-30,Bronx,7668
2020-12-31,Bronx,16818
2021-01-31,Bronx,26256
2021-02-28,Bronx,17964
2021-03-31,Bronx,15808
2021-04-30,Bronx,8541
2021-05-31,Bronx,2297
2021-06-30,Bronx,966
2021-07-31,Bronx,2454
2021-08-31,Bronx,7096
2021-09-30,Bronx,5378
2021-10-31,Bronx,2844
2021-11-30,Bronx,3421
2021-12-31,Bronx,5989
2020-03-31,Queens,19982
2020-04-30,Queens,34122
2020-05-31,Queens,8183
2020-06-30,Queens,3219
2020-07-31,Queens,2497
2020-08-31,Queens,1852
2020-09-30,Queens,2606
2020-10-31,Queens,4321
2020-11-30,Queens,11807
2020-12-31,Queens,28461
2021-01-31,Queens,41016
2021-02-28,Queens,24370
2021-03-31,Queens,27423
2021-04-30,Queens,15964
2021-05-31,Queens,3901
2021-06-30,Queens,1344
2021-07-31,Queens,4391
2021-08-31,Queens,11272
2021-09-30,Queens,9233
2021-10-31,Queens,5469
2021-11-30,Queens,8309
2021-12-31,Queens,12303
2020-03-31,Staten Island,4461
2020-04-30,Staten Island,7808
2020-05-31,Staten Island,1288
2020-06-30,Staten Island,533
2020-07-31,Staten Island,647
2020-08-31,Staten Island,426
2020-09-30,Staten Island,738
2020-10-31,Staten Island,1318
2020-11-30,Staten Island,5313
2020-12-31,Staten Island,10095
2021-01-31,Staten Island,10939
2021-02-28,Staten Island,5500
2021-03-31,Staten Island,7310
2021-04-30,Staten Island,4855
2021-05-31,Staten Island,1234
2021-06-30,Staten Island,605
2021-07-31,Staten Island,1792
2021-08-31,Staten Island,4262
2021-09-30,Staten Island,3521
2021-10-31,Staten Island,2297
2021-11-30,Staten Island,2814
2021-12-31,Staten Island,4077
